mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000000673	0.0	0.0	0.0	0.0
ENSMUSG00000000682	11.64	16.78	0.0	0.0
ENSMUSG00000000686	1.5	1.11	1.66	0.0
ENSMUSG00000000690	8.27	18.26	0.0	0.0
ENSMUSG00000000693	13.05	3.62	1.34	3.57
ENSMUSG00000000701	0.0	0.0	0.0	0.0
ENSMUSG00000000706	0.0	0.0	1.26	0.0
ENSMUSG00000000708	15.85	14.11	25.6	8.13
ENSMUSG00000000711	75.96	91.86	111.31	99.46
ENSMUSG00000000724	0.0	0.0	0.0	0.0
ENSMUSG00000000730	0.0	0.0	0.0	0.0
ENSMUSG00000000731	0.0	0.0	0.0	3.17
ENSMUSG00000000732	3.65	1.07	0.0	0.0
ENSMUSG00000000738	79.75	124.59	84.8	94.97
ENSMUSG00000000739	7.76	0.0	0.0	2.93
ENSMUSG00000000740	2023.26	1917.98	1789.19	1823.27
ENSMUSG00000000743	102.85	124.61	144.99	150.21
ENSMUSG00000000751	48.39	41.3	14.87	19.17
ENSMUSG00000000753	50.64	36.59	5.26	22.03
ENSMUSG00000000759	70.21	61.72	60.12	55.15
ENSMUSG00000000766	3.76	2.78	0.0	7.44
ENSMUSG00000000776	43.91	32.38	59.53	46.64
ENSMUSG00000000782	4.02	8.81	10.77	4.63
ENSMUSG00000000787	116.58	123.5	64.42	57.01
ENSMUSG00000000791	0.0	1.07	0.0	0.0
ENSMUSG00000000792	1.35	0.0	2.99	3.06
ENSMUSG00000000794	13.38	5.08	7.53	5.02
ENSMUSG00000000804	28.98	40.92	26.17	27.63
ENSMUSG00000000805	7.3	5.43	0.0	5.64
ENSMUSG00000000811	16.81	8.28	12.5	11.03
ENSMUSG00000000817	0.0	0.0	0.0	0.0
ENSMUSG00000000823	103.97	145.61	168.96	95.69
ENSMUSG00000000826	163.56	175.63	270.22	176.2
ENSMUSG00000000827	157.03	149.34	79.82	114.26
ENSMUSG00000000838	49.3	52.58	68.18	48.4
