mouse_cns_E14_rep1	mouse_cns_E14_rep2	mouse_cns_E18_rep1	mouse_cns_E18_rep2
ENSMUSG00000040165	1.0	0.0	0.0	1.0
ENSMUSG00000040197	0.0	0.0	0.0	0.0
ENSMUSG00000040236	259.0	254.0	314.0	305.0
ENSMUSG00000040274	40.0	57.0	24.0	21.0
ENSMUSG00000040302	47.0	52.0	56.0	54.0
ENSMUSG00000040340	1.0	0.0	1.0	1.0
ENSMUSG00000040351	299.0	241.0	342.0	371.0
ENSMUSG00000040367	1.0	1.0	1.0	0.0
ENSMUSG00000040407	151.0	157.0	133.0	152.0
ENSMUSG00000040429	35.0	38.0	47.0	33.0
ENSMUSG00000041624	49.0	54.0	63.0	68.0
ENSMUSG00000041935	1776.0	1928.0	1575.0	1655.0
ENSMUSG00000042198	47.0	46.0	50.0	40.0
ENSMUSG00000042228	22.0	17.0	26.0	15.0
ENSMUSG00000042360	0.0	0.0	0.0	0.0
ENSMUSG00000044156	7.0	8.0	4.0	7.0
ENSMUSG00000044433	209.0	168.0	198.0	182.0
ENSMUSG00000044697	1.0	2.0	0.0	0.0
ENSMUSG00000044988	0.0	0.0	2.0	1.0
ENSMUSG00000045098	490.0	489.0	488.0	507.0
ENSMUSG00000046201	236.0	232.0	153.0	161.0
ENSMUSG00000046787	0.0	0.0	0.0	0.0
ENSMUSG00000047205	57.0	68.0	61.0	47.0
ENSMUSG00000047264	431.0	441.0	371.0	309.0
ENSMUSG00000047735	30.0	18.0	31.0	47.0
ENSMUSG00000048807	20.0	26.0	37.0	38.0
ENSMUSG00000049721	4.0	2.0	14.0	14.0
ENSMUSG00000049871	11.0	4.0	8.0	14.0
ENSMUSG00000049950	44.0	57.0	44.0	46.0
ENSMUSG00000050530	777.0	599.0	560.0	597.0
ENSMUSG00000051003	0.0	0.0	0.0	0.0
ENSMUSG00000051396	181.5	68.56	124.66	117.48
ENSMUSG00000051951	224.0	200.0	228.0	255.0
ENSMUSG00000053211	1.0	0.0	0.0	1.0
ENSMUSG00000053263	1.0	3.0	3.0	2.0
ENSMUSG00000053338	0.0	0.0	0.0	0.0
ENSMUSG00000053395	2.0	2.0	1.0	1.0
ENSMUSG00000054594	4.0	5.0	2.0	4.0
ENSMUSG00000054753	0.0	0.0	0.0	0.0
ENSMUSG00000054939	96.0	86.0	148.0	144.0
ENSMUSG00000054986	0.0	0.0	3.0	1.0
ENSMUSG00000055216	5.0	4.0	10.0	14.0
ENSMUSG00000055452	127.0	132.0	120.0	104.0
ENSMUSG00000055541	6.0	6.0	7.0	11.0
ENSMUSG00000055737	251.0	116.0	142.0	146.0
ENSMUSG00000056579	179.0	157.0	183.0	179.0
ENSMUSG00000056673	778.0	762.0	665.0	644.0
ENSMUSG00000058503	85.0	111.0	86.0	87.0
ENSMUSG00000058818	0.0	0.0	0.0	0.0
ENSMUSG00000059043	1.0	0.0	0.0	0.0
ENSMUSG00000059734	37.0	43.0	37.0	49.0
ENSMUSG00000060343	0.0	0.0	0.0	0.0
ENSMUSG00000061971	0.0	0.0	0.0	0.0
ENSMUSG00000062353	1099.0	1116.0	967.0	1170.0
ENSMUSG00000063130	5.0	0.0	0.0	0.0
ENSMUSG00000063889	238.0	232.0	250.0	261.0
ENSMUSG00000064065	275.0	441.0	723.0	724.0
ENSMUSG00000064373	678.0	600.0	870.0	914.0
ENSMUSG00000065952	2.0	3.0	4.0	7.0
ENSMUSG00000065987	0.0	0.0	0.0	0.0
ENSMUSG00000066902	237.0	239.0	154.0	184.0
ENSMUSG00000068141	398.0	334.0	225.0	263.0
ENSMUSG00000068240	2235.0	2273.0	1881.0	1841.0
ENSMUSG00000068457	308.0	279.0	252.0	235.0
ENSMUSG00000068566	287.0	193.0	288.0	235.0
ENSMUSG00000069044	0.0	0.0	0.0	0.0
ENSMUSG00000069045	575.0	497.0	558.0	482.0
ENSMUSG00000069049	765.0	847.0	895.0	1027.0
ENSMUSG00000069053	0.0	1.0	6.0	13.0
ENSMUSG00000069125	1.0	1.0	1.0	1.07
ENSMUSG00000069181	0.0	1.0	1.0	0.0
ENSMUSG00000069633	17.0	19.0	7.0	15.0
ENSMUSG00000069806	247.0	270.0	229.0	207.0
ENSMUSG00000071019	0.0	0.0	0.0	0.0
ENSMUSG00000071454	23.0	15.0	14.0	13.0
ENSMUSG00000071456	66.0	62.0	50.0	37.0
ENSMUSG00000071613	26.77	11.55	54.26	55.05
ENSMUSG00000073242	0.0	0.0	0.0	0.0
ENSMUSG00000074417	0.0	0.0	0.0	0.0
